X,Y,Width,Height
450,558,59.83477592468262,53.256348967552185
456,556,62.497010231018066,55.90368390083313
462,560,67.01629638671875,58.42285215854645
469,561,65.06384372711182,59.41809117794037
474,562,64.64776515960693,54.68518316745758
483,564,63.36260795593262,54.91784870624542
494,563,66.17184638977051,61.060670614242554
503,565,65.02761840820312,59.04394447803497
514,565,60.872039794921875,52.30493187904358
518,561,61.9415283203125,61.255983710289
525,562,66.72509670257568,62.78478920459747
530,562,67.17272758483887,63.3708518743515
535,563,64.81591701507568,59.35510218143463
542,563,64.75256443023682,60.486940741539
551,564,60.92333793640137,59.52184975147247
554,560,64.43860054016113,58.783936500549316
555,561,69.91833686828613,65.64916849136353
561,561,63.13061714172363,58.6137717962265
565,562,63.81543159484863,59.673952460289
568,561,62.99731254577637,58.06091487407684
572,560,62.21081733703613,56.47241413593292
547,540,56.32250785827637,57.305299043655396
549,541,60.257935523986816,58.49816858768463
547,541,62.930908203125,58.18725764751434
544,542,61.835694313049316,57.90685951709747
542,542,63.30798149108887,58.750730752944946
540,542,65.04549980163574,62.445650696754456
539,543,63.51742744445801,56.02380394935608
536,547,63.03640842437744,58.764769434928894
534,550,65.90490818023682,60.93786835670471
530,553,63.64877223968506,59.89526152610779
528,556,64.12911891937256,60.46142756938934
527,556,61.38760566711426,55.27893304824829
521,558,63.39510917663574,54.949461221694946
520,559,62.23523139953613,54.041748046875
519,555,63.786377906799316,57.651368379592896
518,556,61.66735649108887,58.132814168930054
515,552,63.582305908203125,59.717286229133606
512,550,65.69296360015869,60.10168433189392
510,549,64.75637912750244,60.436402559280396
508,548,65.29998779296875,61.82226777076721
505,546,63.636016845703125,59.31420922279358
502,544,61.74752712249756,57.602659463882446
501,545,62.83364772796631,60.28539955615997
499,545,66.86605930328369,61.36071860790253
496,546,63.24618339538574,59.59900081157684
495,546,61.97649955749512,59.11047399044037
491,547,61.50146484375,59.55370903015137
490,554,64.69460964202881,59.06457602977753
488,555,61.857056617736816,52.36340403556824
489,550,61.50128364562988,59.09362971782684
492,549,62.88083076477051,57.832154631614685
495,549,63.50567817687988,61.055177450180054
501,551,61.76379203796387,60.437378883361816
507,554,63.40780735015869,60.42162895202637
515,555,63.17330837249756,56.88952445983887
526,552,60.633087158203125,56.662352085113525
542,551,64.22607421875,61.90673589706421
557,551,62.42138862609863,60.70739686489105
573,554,63.24450492858887,54.60998475551605
590,553,64.07238960266113,56.755494475364685
610,552,62.30029106140137,57.53771781921387
629,550,62.72473335266113,56.81323170661926
644,551,60.048460960388184,55.013673305511475
656,554,61.689696311950684,54.24853563308716
720,551,70.66198825836182,66.14892840385437
730,549,58.379149436950684,56.0137939453125
742,552,56.156373023986816,52.191404700279236
745,555,71.8780517578125,54.787718653678894
760,551,59.881834983825684,56.27551317214966
770,549,59.880614280700684,55.55212140083313
777,549,60.834717750549316,55.00024616718292
769,553,61.126465797424316,50.06738483905792
760,550,58.408570289611816,51.765990257263184
748,545,59.686279296875,55.682862997055054
739,540,61.720213890075684,54.33435022830963
732,538,61.811766624450684,57.03234672546387
721,536,63.521485328674316,53.03979277610779
713,531,62.47448921203613,58.590699434280396
